date,ALPHA,BETA,GAMMA,DELTA
2022-01-05,44.4591,44.5106,60.6619,169.8971
2022-01-06,45.0926,44.825,58.4898,176.0221
2022-01-07,44.9559,43.5621,58.5355,175.4332
2022-01-10,44.7239,42.4218,59.2501,180.3487
2022-01-11,44.2821,42.9623,59.4547,181.9252
2022-01-12,44.4374,42.0143,58.468,184.4123
2022-01-13,44.595,42.2087,59.8454,191.305
2022-01-14,44.8119,41.9177,59.1264,192.6305
2022-01-17,44.5102,42.1586,57.8593,198.1211
2022-01-18,43.5928,42.0592,56.77,192.3452
2022-01-19,44.3939,40.7743,56.7804,195.7452
2022-01-20,43.6687,40.4552,57.8196,194.82
2022-01-21,43.2751,39.5314,59.0717,194.3177
2022-01-24,43.789,39.715,59.3213,194.3711
2022-01-25,43.3143,38.0409,58.0859,195.7424
2022-01-26,43.5104,38.7159,57.4284,202.3589
2022-01-27,43.3196,38.5075,56.5325,195.0134
2022-01-28,44.206,38.3879,56.3757,195.2048
2022-01-31,44.0499,38.4231,54.6274,192.4468
2022-02-01,43.9819,37.1693,54.7603,197.0063
2022-02-02,43.3342,37.3161,55.4234,195.3659
2022-02-03,42.4909,37.679,55.2984,197.1785
2022-02-04,41.6364,38.9189,55.7819,195.6367
2022-02-07,41.8272,39.4193,54.8705,198.288
2022-02-08,41.4604,38.3672,53.4748,202.3738
2022-02-09,41.423,37.8892,52.8872,200.7918
2022-02-10,40.9792,39.3995,54.0228,201.0091
2022-02-11,40.3572,38.0713,55.0567,195.3989
2022-02-14,40.1112,39.7311,54.6285,196.6157
2022-02-15,39.823,39.1029,55.8483,200.0318
2022-02-16,39.6233,36.9157,55.5457,197.8419
2022-02-17,40.336,39.8191,57.1017,202.3452
2022-02-18,41.6147,38.3821,57.6237,194.1457
2022-02-21,42.0338,36.813,57.1804,187.1073
2022-02-22,41.8618,37.8884,58.0287,182.002
2022-02-23,41.1736,37.7515,57.2487,180.2639
2022-02-24,39.664,38.942,56.3155,180.349
2022-02-25,39.771,38.4025,54.8861,180.0828
2022-02-28,39.9737,39.0279,55.1642,179.8593
2022-03-01,40.5427,39.4158,55.1335,182.4993
2022-03-02,40.2378,38.4587,55.0791,180.8023
2022-03-03,40.73,39.0374,54.6961,176.308
2022-03-04,41.3141,38.7758,56.1527,171.9935
2022-03-07,42.0177,40.3194,55.7484,179.4345
2022-03-08,42.7122,38.1739,55.0492,171.206
2022-03-09,41.5537,38.529,56.3205,170.6204
2022-03-10,41.7407,37.8145,57.803,175.6862
2022-03-11,41.1106,38.585,58.1799,177.4106
2022-03-14,40.776,38.5781,56.4085,174.5089
2022-03-15,41.4496,37.0594,55.8252,174.5339
2022-03-16,41.091,37.1534,56.4671,177.5936
2022-03-17,40.0155,36.7726,56.5077,181.9552
2022-03-18,39.807,35.9884,58.134,178.7296
2022-03-21,40.1968,36.9387,56.7437,181.4868
2022-03-22,40.064,36.7151,57.4639,182.4239
2022-03-23,40.0815,36.915,56.8417,186.5168
2022-03-24,40.9902,38.1347,58.2349,191.7954
2022-03-25,41.4621,38.8488,58.1795,190.5021
2022-03-28,41.7626,37.8601,59.2926,185.0769
2022-03-29,41.7262,37.5521,58.6289,186.5666
2022-03-30,41.045,37.8855,57.183,193.3343
2022-03-31,40.6906,37.4781,56.0739,196.023
2022-04-01,40.6674,38.4491,55.4871,196.9472
2022-04-04,41.1566,39.3151,54.4947,206.6562
2022-04-05,41.0636,38.4259,55.7073,202.4223
2022-04-06,41.5792,38.2406,57.089,206.1318
2022-04-07,41.0759,38.0239,57.3933,203.8138
2022-04-08,40.4459,38.0928,56.3573,204.0366
2022-04-11,41.1517,38.0489,56.2598,204.4232
2022-04-12,40.9712,38.5552,55.5917,210.7316
2022-04-13,41.7367,39.095,57.0887,206.844
2022-04-14,42.0973,39.1011,57.4373,204.6627
2022-04-15,41.2899,40.2209,57.9687,198.2649
2022-04-18,41.1134,39.9566,57.5762,200.2263
2022-04-19,40.5816,39.7931,55.5512,198.4195
2022-04-20,39.6921,38.7512,54.8074,200.1211
2022-04-21,39.5709,41.0019,53.7383,195.8908
2022-04-22,39.9823,39.9466,54.1193,194.5073
2022-04-25,40.1196,40.855,54.2351,198.6111
2022-04-26,39.7025,39.3811,53.4795,197.9396
2022-04-27,39.4766,39.7322,53.128,200.452
2022-04-28,39.4535,38.3256,54.6692,202.6016
2022-04-29,38.9011,38.7403,53.7547,201.1957
2022-05-02,38.1164,38.9716,52.895,195.0358
2022-05-03,38.2956,36.3948,52.6991,198.9376
2022-05-04,38.7222,38.0206,52.0609,199.6379
2022-05-05,38.7529,38.5782,51.6813,203.6231
2022-05-06,38.176,37.9145,52.199,195.6088
2022-05-09,38.3298,37.9925,53.8737,189.2606
2022-05-10,38.8383,38.4185,52.1963,181.3394
2022-05-11,37.751,36.3352,52.2001,178.2048
2022-05-12,37.4872,37.0782,52.2599,181.9756
2022-05-13,37.9829,36.3441,52.2019,184.0656
2022-05-16,39.2622,35.9359,52.0472,183.9583
2022-05-17,39.8023,36.702,51.75,184.4603
2022-05-18,40.3886,37.3091,52.715,187.3072
2022-05-19,40.6544,37.5041,52.2964,186.1973
2022-05-20,39.7321,38.6238,52.1975,187.6969
2022-05-23,40.1569,37.7588,52.2183,188.2418
2022-05-24,39.7156,39.7685,52.3404,180.2034
2022-05-25,40.3206,38.7752,52.2005,178.8397
2022-05-26,40.6094,38.9498,53.1692,183.7847
2022-05-27,41.1259,39.304,53.1821,182.3536
2022-05-30,41.0266,39.4483,53.3704,181.8507
2022-05-31,41.1329,39.7351,53.3423,179.6748
2022-06-01,41.036,39.8903,52.4088,177.9595
2022-06-02,41.6343,39.1354,51.6524,182.0236
2022-06-03,41.1292,41.0226,50.7056,181.0683
2022-06-06,41.7482,43.0562,50.9021,177.4228
2022-06-07,41.7685,39.3212,50.2726,166.7354
2022-06-08,42.5832,40.3151,49.341,164.853
2022-06-09,42.7976,39.6405,49.5728,158.51
2022-06-10,43.2288,39.6071,50.0635,152.8478
2022-06-13,44.1677,40.5976,48.521,155.3136
2022-06-14,43.8793,38.1976,50.0394,157.5464
2022-06-15,44.1041,38.2108,50.0886,151.6349
2022-06-16,44.581,38.8971,50.0138,154.2547
2022-06-17,44.0643,37.8403,51.0039,155.694
2022-06-20,43.3587,37.1866,51.0884,153.2884
2022-06-21,43.7409,37.9517,50.5564,155.572
2022-06-22,43.9467,37.8369,52.6145,150.6073
2022-06-23,44.1105,39.2658,51.6274,147.0374
2022-06-24,43.4287,37.9813,51.5573,142.8783
2022-06-27,42.8794,40.2095,52.3705,139.7512
2022-06-28,42.479,39.0606,51.3924,142.243
2022-06-29,42.1049,41.3617,51.3186,138.5131
2022-06-30,41.8283,40.4351,51.6976,135.3736
2022-07-01,41.5437,38.5516,54.0031,132.8346
2022-07-04,41.0076,40.7125,53.1635,133.3682
2022-07-05,41.113,39.4787,53.1391,132.4785
2022-07-06,41.8331,39.8009,53.7945,134.7966
2022-07-07,42.0323,41.0898,53.8945,132.9057
2022-07-08,42.3838,38.5389,52.7613,129.535
2022-07-11,43.1934,38.0479,53.1716,128.2483
2022-07-12,42.4558,39.8678,53.2959,128.3506
2022-07-13,43.2601,39.1302,53.7467,125.9876
2022-07-14,43.1148,39.6696,54.8745,126.6925
2022-07-15,43.0342,38.6986,55.9068,131.3795
2022-07-18,43.8843,38.2323,56.3412,129.8559
2022-07-19,44.4535,39.9199,56.6797,129.9632
2022-07-20,45.0139,41.8215,55.5922,133.5155
2022-07-21,44.6314,41.9948,55.4802,131.7836
2022-07-22,44.386,41.7622,55.7229,129.5543
2022-07-25,45.0464,42.4779,55.3443,126.7338
2022-07-26,44.3693,42.8231,55.4638,127.7269
2022-07-27,43.5556,42.4252,54.6678,129.0256
2022-07-28,43.9586,43.8815,56.2211,128.618
2022-07-29,44.2017,42.7756,58.4651,128.6993
2022-08-01,44.0755,41.5182,58.0798,131.9893
2022-08-02,42.6048,41.8675,58.5233,134.2647
2022-08-03,41.7828,42.2389,58.3004,130.5177
2022-08-04,41.9599,42.5689,59.6647,130.4538
2022-08-05,41.7935,41.6388,60.1578,130.6866
2022-08-08,41.6184,41.3535,60.2657,132.5369
2022-08-09,42.2316,41.479,60.0476,131.8984
2022-08-10,42.5665,40.6199,60.2081,130.1574
2022-08-11,42.5233,40.6577,59.1573,128.9189
2022-08-12,42.8271,42.152,59.905,124.3633
2022-08-15,42.8253,40.6857,59.1637,124.246
2022-08-16,42.5212,41.2132,59.76,122.7173
2022-08-17,42.6203,40.9229,59.9235,123.8102
2022-08-18,43.3227,40.8774,61.1407,121.2367
2022-08-19,43.3811,40.4366,61.1465,120.1245
2022-08-22,43.0786,41.4702,62.3079,117.7359
2022-08-23,43.1476,40.2534,61.3065,115.1912
2022-08-24,43.4688,39.2434,62.0075,116.7506
2022-08-25,44.1344,39.9368,61.7826,115.6046
2022-08-26,43.5191,39.0651,62.0238,116.5684
2022-08-29,43.3614,37.7243,62.1288,113.9202
2022-08-30,43.1423,38.1817,63.21,114.0718
2022-08-31,44.6963,38.715,60.9778,110.2138
2022-09-01,44.9731,38.1387,61.358,109.0946
2022-09-02,43.8852,39.9391,59.7533,107.9324
2022-09-05,44.7461,39.7717,61.0899,109.1239
2022-09-06,45.6381,40.5475,58.9823,109.4421
2022-09-07,44.925,40.1634,57.9493,108.9833
2022-09-08,44.6406,40.9291,56.2519,110.7451
2022-09-09,44.7694,41.9648,57.9596,111.0889
2022-09-12,45.9488,41.5617,56.6529,112.2074
2022-09-13,46.422,40.951,56.7919,113.8555
2022-09-14,45.3996,42.4817,56.2693,113.6191
2022-09-15,46.5204,41.9326,54.4975,112.8688
2022-09-16,47.1053,43.4962,54.1893,113.5221
2022-09-19,48.2673,44.1262,54.8615,112.4933
2022-09-20,48.0112,43.5323,54.7017,113.2798
2022-09-21,45.9781,43.6106,55.6585,115.7249
2022-09-22,46.3539,44.9304,55.3192,117.6246
2022-09-23,46.1505,43.955,55.3482,116.6389
2022-09-26,46.2161,44.3313,54.9881,113.5921
2022-09-27,45.6231,45.7462,55.3514,113.3743
2022-09-28,45.8,45.9226,57.2989,112.9988
2022-09-29,45.8989,42.2991,57.6968,115.4286
2022-09-30,45.2504,44.0248,57.9223,114.4561
2022-10-03,45.5511,43.1013,57.304,113.8859
2022-10-04,45.2066,43.0784,56.5526,115.4753
2022-10-05,46.0698,42.1216,58.086,114.2852
2022-10-06,46.0987,41.8685,56.9575,113.8277
2022-10-07,44.9366,41.7395,56.0514,117.6924
2022-10-10,45.9707,41.1447,55.9755,121.1444
2022-10-11,46.2729,41.7776,55.5698,122.5742
2022-10-12,46.4472,42.7015,57.5844,123.1297
2022-10-13,47.6682,42.6089,55.2054,120.6693
2022-10-14,47.3743,43.4329,55.5878,121.9194
2022-10-17,45.674,44.3432,56.3281,121.9579
2022-10-18,46.2187,42.3619,55.2255,122.3932
2022-10-19,45.4627,41.4094,54.6103,121.0308
2022-10-20,44.9368,41.8108,55.0592,120.8998
2022-10-21,45.1219,41.2076,56.7208,120.3543
2022-10-24,43.5374,41.6853,55.811,121.0124
2022-10-25,43.1482,42.6598,54.2686,124.4061
2022-10-26,42.3766,41.0671,55.249,125.2014
2022-10-27,42.3804,41.6939,56.808,121.023
2022-10-28,42.4707,42.4084,56.489,118.6011
2022-10-31,42.9084,40.814,54.304,114.8128
2022-11-01,42.7285,41.351,55.7642,112.9129
2022-11-02,42.7714,40.1789,55.5875,114.0827
2022-11-03,42.8081,39.849,56.7462,114.9013
2022-11-04,41.6649,39.718,56.7245,113.4388
2022-11-07,41.8024,41.2447,56.3647,113.9464
2022-11-08,42.2303,40.7077,55.9305,112.1418
2022-11-09,43.6071,41.0512,57.4567,108.9135
2022-11-10,44.4216,41.416,58.9831,105.8084
2022-11-11,44.7605,41.9593,56.7792,103.9204
2022-11-14,43.8886,42.6605,55.8527,106.817
2022-11-15,44.6403,42.9084,57.6912,103.9064
2022-11-16,44.332,44.3538,57.334,106.4248
2022-11-17,44.6904,42.8262,55.9694,109.1878
2022-11-18,44.5557,43.5228,55.9963,108.6965
2022-11-21,44.2883,43.0678,55.9095,108.4947
2022-11-22,44.5765,42.7318,55.834,107.0805
2022-11-23,44.8958,41.153,55.3762,106.9326
2022-11-24,44.1607,41.7328,55.0901,108.25
2022-11-25,44.5356,41.2191,54.6617,108.1724
2022-11-28,45.4163,42.1903,55.0132,110.247
2022-11-29,45.2464,41.0914,54.236,112.7867
2022-11-30,45.2062,42.8687,53.9755,113.459
2022-12-01,45.1179,42.5576,53.8573,114.0978
2022-12-02,45.2753,42.9731,55.1601,113.8531
2022-12-05,44.7512,42.6509,55.5544,114.5372
2022-12-06,45.3922,42.0352,55.4669,111.9143
2022-12-07,46.4896,42.3361,56.0273,112.7192
2022-12-08,46.4357,41.5451,56.4609,113.0768
2022-12-09,47.1938,41.3181,57.6004,111.0439
2022-12-12,47.8097,42.8509,58.1512,115.8093
2022-12-13,47.5745,42.4241,60.0836,113.4783
2022-12-14,47.934,41.9167,61.5802,111.4228
2022-12-15,47.701,41.5838,61.5594,111.9384
2022-12-16,49.4615,41.3346,61.1262,107.5913
2022-12-19,48.4159,41.091,62.1299,105.805
2022-12-20,47.3317,42.1475,62.7354,102.5365
2022-12-21,47.5613,40.2242,62.6538,100.482
2022-12-22,47.5124,42.3746,61.0345,100.1207
2022-12-23,47.5171,42.4258,59.0779,100.6647
2022-12-26,46.6639,43.3345,59.4732,102.8086
2022-12-27,46.3987,43.12,60.3282,104.3758
2022-12-28,47.0979,41.7674,61.2315,106.7703
2022-12-29,47.2748,41.272,59.8531,107.9273
2022-12-30,47.3357,41.0221,61.0056,106.8193
2023-01-02,48.2813,41.3219,60.446,109.1181
2023-01-03,47.6508,41.1465,60.8945,107.9545
2023-01-04,46.9583,40.0033,61.3775,106.5348
2023-01-05,46.2735,40.6063,60.5214,109.7301
2023-01-06,45.3026,38.8993,59.9046,111.3609
2023-01-09,45.3827,39.9506,57.7336,111.7397
2023-01-10,45.5984,38.9491,56.8114,113.3188
2023-01-11,45.0099,40.0604,55.0197,115.2108
2023-01-12,45.8204,40.8054,55.4768,112.0067
2023-01-13,45.567,40.4079,55.5603,111.6858
2023-01-16,44.4476,39.994,56.5046,108.9777
2023-01-17,44.2741,39.8097,56.8912,109.1351
2023-01-18,43.6532,40.2181,56.2674,107.5747
2023-01-19,42.4379,40.6402,56.6418,110.4235
2023-01-20,42.1904,41.1626,56.2676,111.4616
2023-01-23,42.7294,39.3496,56.9106,109.5587
2023-01-24,41.2741,39.1884,57.2575,109.4084
2023-01-25,41.71,39.2903,56.2702,106.6849
2023-01-26,41.9607,39.8475,56.2949,106.664
2023-01-27,42.4,38.3276,56.3735,107.7276
2023-01-30,41.9327,40.7213,56.0846,108.1863
2023-01-31,42.1056,40.0239,57.0181,103.989
2023-02-01,42.2302,39.7944,58.8272,103.1899
2023-02-02,43.1383,40.6945,58.4625,104.1382
2023-02-03,43.0592,41.5199,58.1178,104.6699
2023-02-06,42.7678,41.6359,55.8354,107.0132
2023-02-07,43.4448,41.8742,55.7282,104.1925
2023-02-08,43.3212,40.3341,55.3145,105.1805
2023-02-09,43.4025,40.8356,53.2253,103.7143
2023-02-10,43.0126,40.9728,53.5238,104.0121
2023-02-13,43.2815,40.1197,54.1179,104.7504
2023-02-14,42.7358,40.491,53.4289,106.0885
2023-02-15,43.7914,40.1317,53.093,104.7634
2023-02-16,43.2612,40.5817,52.1982,105.0421
2023-02-17,42.7989,39.4649,52.9408,102.5109
2023-02-20,42.013,39.2303,51.5349,99.5569
2023-02-21,41.4482,40.1194,51.2656,100.5632
2023-02-22,41.547,38.7597,53.1193,100.3491
2023-02-23,41.3011,39.6095,53.1899,97.052
2023-02-24,41.2054,39.5902,53.6613,95.3166
2023-02-27,41.1481,39.1519,53.5412,95.2527
2023-02-28,40.8279,38.3619,52.4422,98.1571
2023-03-01,40.5848,39.2825,52.4324,100.1233
2023-03-02,40.8131,39.5363,52.8385,101.6264
2023-03-03,41.3829,38.9765,51.8956,97.9595
2023-03-06,42.9569,40.1421,52.2365,97.6657
2023-03-07,42.0256,38.6857,53.4417,98.4971
2023-03-08,41.2529,40.7886,54.5024,99.1703
2023-03-09,41.093,39.5181,52.9928,99.8923
2023-03-10,41.6789,40.5646,52.0914,99.3219
2023-03-13,42.1326,37.8226,50.6204,102.765
2023-03-14,42.1671,38.9356,51.6265,105.7307
2023-03-15,41.7549,38.7033,52.2177,105.4202
2023-03-16,41.6756,38.6988,52.9039,103.2652
2023-03-17,40.9056,37.6418,52.0949,107.4787
2023-03-20,40.1187,38.108,51.0327,106.1844
2023-03-21,40.3626,38.1163,51.1239,108.6396
2023-03-22,39.8757,35.8256,51.2374,112.7463
2023-03-23,39.9504,35.5853,50.4757,110.5215
2023-03-24,40.1718,35.7662,50.6253,111.0466
2023-03-27,40.748,34.8564,51.2366,110.1597
2023-03-28,40.0198,35.424,51.4679,111.1807
2023-03-29,40.1944,35.2994,50.5342,111.7756
2023-03-30,39.956,34.7183,48.668,116.0852
2023-03-31,39.5248,34.8614,48.4611,117.3376
2023-04-03,40.0035,36.0181,48.6241,117.1916
2023-04-04,40.1408,35.3248,48.4164,119.7316
2023-04-05,40.4674,35.3602,48.0638,118.9549
2023-04-06,40.1875,35.3824,47.4882,117.9629
2023-04-07,39.6556,33.9861,48.1232,123.2309
2023-04-10,38.9497,34.3637,48.0971,121.0946
2023-04-11,40.0319,33.8904,48.2231,119.7881
2023-04-12,40.2487,33.8745,47.4061,119.7651
2023-04-13,40.777,35.4993,46.8984,117.1348
2023-04-14,40.5847,34.4781,47.0557,112.1769
2023-04-17,41.244,36.1951,46.2303,114.4473
2023-04-18,41.0311,34.7993,45.2122,112.5445
2023-04-19,41.0966,34.3006,44.9631,111.2136
2023-04-20,41.462,36.4214,45.9641,110.2701
2023-04-21,41.8611,37.2172,46.1408,108.0107
2023-04-24,42.4245,35.7821,47.3881,105.6019
2023-04-25,41.9728,35.1481,47.2949,105.8281
2023-04-26,41.8919,36.2833,47.0505,110.9071
2023-04-27,42.6296,37.1367,45.9044,112.4315
2023-04-28,42.6593,35.7863,45.4489,114.0008
2023-05-01,42.0013,34.9833,46.657,110.5007
2023-05-02,41.0358,36.4565,46.9517,110.3285
2023-05-03,41.1317,35.9381,47.5944,107.6322
2023-05-04,40.5775,35.7555,48.2216,109.1896
2023-05-05,40.7097,36.9394,48.2326,108.5757
2023-05-08,41.0226,36.7298,48.0743,108.5416
2023-05-09,41.184,37.7653,48.1968,108.233
2023-05-10,41.0231,37.0485,48.8023,106.8619
2023-05-11,42.6281,37.065,49.2258,103.5477
2023-05-12,43.7,37.4989,49.6836,104.6421
2023-05-15,44.1733,36.4487,49.8415,101.6777
2023-05-16,43.7046,38.0636,49.1752,99.1977
2023-05-17,43.3526,38.7246,48.9638,98.5027
2023-05-18,43.5644,39.5997,48.1603,97.0167
2023-05-19,42.8748,39.8087,49.0588,97.4206
2023-05-22,42.3306,39.2235,47.2561,99.3021
2023-05-23,42.2532,39.3926,47.09,99.6899
2023-05-24,42.5078,40.8889,49.1772,99.9757
2023-05-25,41.9373,39.8246,48.8954,99.9144
2023-05-26,41.5425,39.7199,47.9259,101.5341
2023-05-29,40.9766,41.9404,47.9296,97.7485
2023-05-30,41.3526,40.6573,49.0746,98.3626
2023-05-31,41.4392,40.7637,48.9527,96.4403
2023-06-01,41.4935,39.2535,49.5159,93.9898
2023-06-02,41.9818,38.9245,49.6249,93.8974
2023-06-05,42.236,39.4732,49.3127,93.0723
2023-06-06,42.1449,39.3384,52.2107,94.0627
2023-06-07,41.4603,40.1504,52.2985,96.0527
2023-06-08,42.7521,38.0938,51.816,91.5883
2023-06-09,42.7806,39.1053,51.3815,91.3572
2023-06-12,42.7096,38.1826,51.7554,94.9038
2023-06-13,41.7311,38.2544,52.1589,96.4607
